secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
46,82,147,0.202797,16.0943,0,0,-5.32,54.43881560,24.53180940,0,-1.37174,-255,0,-255,0,0,0,0,0,0,0,0
47,82,147,0.207216,16.0013,0,0,-5.36,54.43884180,24.53184120,0,-1.18721,-255,0,-255,0,0,0,0,0,0,0,0
48,82,147,0.211635,15.9084,0,0,-5.4,54.43886800,24.53187300,0,-1.00268,-255,0,-255,0,0,0,0,0,0,0,0
49,82,146,0.215637,15.1575,0,0,-5.4,54.43888900,24.53190350,0,-0.727638,-255,0,-255,0,0,0,0,0,0,0,0
50,82,146,0.219639,14.4066,0,0,-5.4,54.43891000,24.53193400,0,-0.452592,-255,0,-255,0,0,0,0,0,0,0,0
51,82,147,0.22388,14.5789,0,0,-5.44,54.43892900,24.53196800,0,-0.546906,-255,0,-255,0,0,0,0,0,0,0,0
52,82,147,0.228121,14.7512,0,0,-5.48,54.43894800,24.53200200,0,-0.641221,-255,0,-255,0,0,0,0,0,0,0,0
53,82,147,0.232362,14.9235,0,0,-5.52,54.43896700,24.53203600,0,-0.735535,-255,0,-255,0,0,0,0,0,0,0,0
54,82,147,0.236603,15.0958,0,0,-5.56,54.43898600,24.53207000,0,-0.739331,-255,0,-255,0,0,0,0,0,0,0,0
55,82,147,0.240845,15.2681,0,0,-5.6,54.43900500,24.53210400,0,-0.743127,-255,0,-255,0,0,0,0,0,0,0,0
56,82,147,0.245148,15.3434,0,0,-5.6,54.43901967,24.53214033,0,-0.652609,-255,0,-255,0,0,0,0,0,0,0,0
57,82,147,0.249452,15.4187,0,0,-5.6,54.43903433,24.53217667,0,-0.562091,-255,0,-255,0,0,0,0,0,0,0,0
58,82,147,0.253756,15.494,0,0,-5.6,54.43904900,24.53221300,0,-0.471572,-255,0,-255,0,0,0,0,0,0,0,0
59,82,146,0.258152,15.56,0,0,-5.64,54.43905460,24.53225220,0,-0.562575,-255,0,-255,0,0,0,0,0,0,0,0
60,82,146,0.262547,15.6259,0,0,-5.68,54.43906020,24.53229140,0,-0.653577,-255,0,-255,0,0,0,0,0,0,0,0
61,82,146,0.266943,15.6919,0,0,-5.72,54.43906580,24.53233060,0,-0.650265,-255,0,-255,0,0,0,0,0,0,0,0
62,82,146,0.271338,15.7578,0,0,-5.76,54.43907140,24.53236980,0,-0.646952,-255,0,-255,0,0,0,0,0,0,0,0
63,82,146,0.275734,15.8238,0,0,-5.8,54.43907700,24.53240900,0,-0.64364,-255,0,-255,0,0,0,0,0,0,0,0
64,82,145,0.280383,16.7364,0,0,-5.8,54.43908600,24.53245000,0,-0.549326,-255,0,-255,0,0,0,0,0,0,0,0
65,82,147,0.284781,16.5558,0,0,-5.8,54.43909180,24.53248920,0,-0.455011,-255,0,-255,0,0,0,0,0,0,0,0
66,82,147,0.289179,16.3752,0,0,-5.8,54.43909760,24.53252840,0,-0.455011,-255,0,-255,0,0,0,0,0,0,0,0
67,82,147,0.293577,16.1946,0,0,-5.8,54.43910340,24.53256760,0,-0.455011,-255,0,-255,0,0,0,0,0,0,0,0
68,82,147,0.297975,16.014,0,0,-5.8,54.43910920,24.53260680,0,-0.455011,-255,0,-255,0,0,0,0,0,0,0,0
69,82,147,0.302373,15.8333,0,0,-5.8,54.43911500,24.53264600,0,-0.364009,-255,0,-255,0,0,0,0,0,0,0,0
70,81,145,0.306766,15.8226,0,0,-5.8,54.43911500,24.53268550,0,-0.273007,-255,0,-255,0,0,0,0,0,0,0,0
71,81,145,0.311158,15.8119,0,0,-5.8,54.43911500,24.53272500,0,-0.182004,-255,0,-255,0,0,0,0,0,0,0,0
72,82,145,0.315534,15.8003,0,0,-5.88,54.43910920,24.53276400,0,-0.273813,-255,0,-255,0,0,0,0,0,0,0,0
73,82,145,0.31991,15.7888,0,0,-5.96,54.43910340,24.53280300,0,-0.365621,-255,0,-255,0,0,0,0,0,0,0,0
74,82,145,0.324286,15.7772,0,0,-6.04,54.43909760,24.53284200,0,-0.548432,-255,0,-255,0,0,0,0,0,0,0,0
75,82,145,0.328662,15.7656,0,0,-6.12,54.43909180,24.53288100,0,-0.731243,-255,0,-255,0,0,0,0,0,0,0,0
