secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
614,82,170,2.60242,15.4721,0,0,-4.52,54.32924860,24.41794380,0,-0.723017,-255,0,-255,0,0,0,0,0,0,0,0
615,82,170,2.60669,15.4139,0,0,-4.56,54.32927280,24.41791240,0,-0.816793,-255,0,-255,0,0,0,0,0,0,0,0
616,82,170,2.61095,15.3557,0,0,-4.6,54.32929700,24.41788100,0,-0.910569,-255,0,-255,0,0,0,0,0,0,0,0
617,82,171,2.61541,15.4921,0,0,-4.64,54.32932540,24.41785040,0,-0.55867,-255,0,-255,0,0,0,0,0,0,0,0
618,82,171,2.61986,15.6284,0,0,-4.68,54.32935380,24.41781980,0,-0.648459,-255,0,-255,0,0,0,0,0,0,0,0
619,82,171,2.62432,15.7648,0,0,-4.72,54.32938220,24.41778920,0,-0.738249,-255,0,-255,0,0,0,0,0,0,0,0
620,82,171,2.62877,15.9012,0,0,-4.76,54.32941060,24.41775860,0,-0.828038,-255,0,-255,0,0,0,0,0,0,0,0
621,82,171,2.63323,16.0375,0,0,-4.8,54.32943900,24.41772800,0,-0.917828,-255,0,-255,0,0,0,0,0,0,0,0
622,81,169,2.63748,15.7911,0,0,-4.8,54.32946833,24.41770067,0,-0.824052,-255,0,-255,0,0,0,0,0,0,0,0
623,81,169,2.64173,15.5446,0,0,-4.8,54.32949767,24.41767333,0,-0.730276,-255,0,-255,0,0,0,0,0,0,0,0
624,81,169,2.64598,15.2982,0,0,-4.8,54.32952700,24.41764600,0,-0.6365,-255,0,-255,0,0,0,0,0,0,0,0
625,82,171,2.65007,15.1827,0,0,-4.76,54.32955760,24.41762200,0,-0.444903,-255,0,-255,0,0,0,0,0,0,0,0
626,82,171,2.65416,15.0673,0,0,-4.72,54.32958820,24.41759800,0,-0.253306,-255,0,-255,0,0,0,0,0,0,0,0
627,82,171,2.65825,14.9518,0,0,-4.68,54.32961880,24.41757400,0,-0.0656961,-255,0,-255,0,0,0,0,0,0,0,0
628,82,171,2.66233,14.8363,0,0,-4.64,54.32964940,24.41755000,0,0.121914,-255,0,-255,0,0,0,0,0,0,0,0
629,82,171,2.66642,14.7208,0,0,-4.6,54.32968000,24.41752600,0,0.309524,-255,0,-255,0,0,0,0,0,0,0,0
630,82,173,2.67067,14.9079,0,0,-4.53333,54.32971200,24.41750133,0,0.556359,-255,0,-255,0,0,0,0,0,0,0,0
631,82,173,2.67491,15.0951,0,0,-4.46667,54.32974400,24.41747667,0,0.803195,-255,0,-255,0,0,0,0,0,0,0,0
632,82,173,2.67916,15.2822,0,0,-4.4,54.32977600,24.41745200,0,0.96024,-255,0,-255,0,0,0,0,0,0,0,0
633,82,171,2.68353,15.3723,0,0,-4.4,54.32981100,24.41742900,0,0.96024,-255,0,-255,0,0,0,0,0,0,0,0
634,82,171,2.6879,15.4624,0,0,-4.4,54.32984600,24.41740600,0,0.96024,-255,0,-255,0,0,0,0,0,0,0,0
635,82,171,2.69227,15.5525,0,0,-4.4,54.32988100,24.41738300,0,0.862419,-255,0,-255,0,0,0,0,0,0,0,0
636,82,171,2.69664,15.6426,0,0,-4.4,54.32991600,24.41736000,0,0.764599,-255,0,-255,0,0,0,0,0,0,0,0
637,82,171,2.70101,15.7328,0,0,-4.4,54.32995100,24.41733700,0,0.666778,-255,0,-255,0,0,0,0,0,0,0,0
638,82,171,2.70505,15.3387,0,0,-4.4,54.32998433,24.41731700,0,0.568957,-255,0,-255,0,0,0,0,0,0,0,0
639,82,171,2.70909,14.9446,0,0,-4.4,54.33001767,24.41729700,0,0.471137,-255,0,-255,0,0,0,0,0,0,0,0
640,82,171,2.71313,14.5505,0,0,-4.4,54.33005100,24.41727700,0,0.314091,-255,0,-255,0,0,0,0,0,0,0,0
641,81,171,2.71716,14.5392,0,0,-4.4,54.33008400,24.41725680,0,0.157046,-255,0,-255,0,0,0,0,0,0,0,0
642,81,171,2.72119,14.5278,0,0,-4.4,54.33011700,24.41723660,0,0,-255,0,-255,0,0,0,0,0,0,0,0
643,81,171,2.72521,14.5165,0,0,-4.4,54.33015000,24.41721640,0,0,-255,0,-255,0,0,0,0,0,0,0,0
644,81,171,2.72924,14.5051,0,0,-4.4,54.33018300,24.41719620,0,0,-255,0,-255,0,0,0,0,0,0,0,0
645,81,171,2.73327,14.4937,0,0,-4.4,54.33021600,24.41717600,0,0,-255,0,-255,0,0,0,0,0,0,0,0
646,81,170,2.73709,13.771,0,0,-4.4,54.33025000,24.41716100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
647,82,172,2.7413,14.0499,0,0,-4.44,54.33028900,24.41714780,0,-0.0949509,-255,0,-255,0,0,0,0,0,0,0,0
648,82,172,2.74552,14.3289,0,0,-4.48,54.33032800,24.41713460,0,-0.189902,-255,0,-255,0,0,0,0,0,0,0,0
649,82,172,2.74973,14.6078,0,0,-4.52,54.33036700,24.41712140,0,-0.284853,-255,0,-255,0,0,0,0,0,0,0,0
650,82,172,2.75394,14.8868,0,0,-4.56,54.33040600,24.41710820,0,-0.379803,-255,0,-255,0,0,0,0,0,0,0,0
651,82,172,2.75815,15.1657,0,0,-4.6,54.33044500,24.41709500,0,-0.474754,-255,0,-255,0,0,0,0,0,0,0,0
652,82,173,2.76209,14.1871,0,0,-4.6,54.33048200,24.41708400,0,-0.474754,-255,0,-255,0,0,0,0,0,0,0,0
653,82,174,2.76626,14.3456,0,0,-4.56,54.33052100,24.41707220,0,-0.378624,-255,0,-255,0,0,0,0,0,0,0,0
654,82,174,2.77042,14.5041,0,0,-4.52,54.33056000,24.41706040,0,-0.282494,-255,0,-255,0,0,0,0,0,0,0,0
655,82,174,2.77458,14.6627,0,0,-4.48,54.33059900,24.41704860,0,-0.186364,-255,0,-255,0,0,0,0,0,0,0,0
656,82,174,2.77874,14.8212,0,0,-4.44,54.33063800,24.41703680,0,-0.0902339,-255,0,-255,0,0,0,0,0,0,0,0
657,82,174,2.7829,14.9797,0,0,-4.4,54.33067700,24.41702500,0,0.100847,-255,0,-255,0,0,0,0,0,0,0,0
658,82,176,2.7873,15.4021,0,0,-4.4,54.33071800,24.41701200,0,0.195798,-255,0,-255,0,0,0,0,0,0,0,0
659,82,176,2.79169,15.8246,0,0,-4.4,54.33075900,24.41699900,0,0.290749,-255,0,-255,0,0,0,0,0,0,0,0
660,82,173,2.7958,15.4766,0,0,-4.4,54.33079867,24.41699133,0,0.3857,-255,0,-255,0,0,0,0,0,0,0,0
661,82,173,2.7999,15.1286,0,0,-4.4,54.33083833,24.41698367,0,0.480651,-255,0,-255,0,0,0,0,0,0,0,0
662,82,173,2.80401,14.7806,0,0,-4.4,54.33087800,24.41697600,0,0.480651,-255,0,-255,0,0,0,0,0,0,0,0
663,81,173,2.80826,14.8834,0,0,-4.4,54.33091960,24.41697100,0,0.38452,-255,0,-255,0,0,0,0,0,0,0,0
