secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,41,83,0.002042,7.35122,0,0,4.2,54.433418,24.523383,0,-39.1772,-255,0,-255,0,0,0,0,0,0,0,0
2,0,86,0.00472449,7.92765,0,0,3.95,54.43341,24.523406,0,-9.31973,-255,0,-255,0,0,0,0,0,0,0,0
3,0,86,0.00740697,8.50408,0,0,3.7,54.433402,24.523429,0,-9.31973,-255,0,-255,0,0,0,0,0,0,0,0
4,0,86,0.0100895,9.08051,0,0,3.45,54.433394,24.523452,0,-9.31973,-255,0,-255,0,0,0,0,0,0,0,0
5,0,86,0.0127719,9.65694,0,0,3.2,54.433386,24.523475,0,-9.31973,-255,0,-255,0,0,0,0,0,0,0,0
6,78,89,0.0163145,11.2052,0,0,3.6,54.4333715,24.523504,0,11.2911,-255,0,-255,0,0,0,0,0,0,0,0
7,78,89,0.0198572,12.7534,0,0,4,54.433357,24.523533,0,11.2911,-255,0,-255,0,0,0,0,0,0,0,0
8,79,95,0.0242874,15.9489,0,0,3.8,54.433316,24.523547,0,-4.51442,-255,0,-255,0,0,0,0,0,0,0,0
9,79,99,0.0286445,15.6855,0,0,4.6,54.433275,24.523559,0,18.3609,-255,0,-255,0,0,0,0,0,0,0,0
10,79,103,0.0328585,15.428,0,0,4.1,54.4332375,24.5235755,0,-5.18925,-255,0,-255,0,0,0,0,0,0,0,0
11,79,103,0.0370725,15.1705,0,0,3.6,54.4332,24.523592,0,-2.45805,-255,0,-255,0,0,0,0,0,0,0,0
12,79,107,0.0405076,13.7684,0,0,3.9,54.4331835,24.523619,0,-0.652738,-255,0,-255,0,0,0,0,0,0,0,0
13,79,107,0.0439427,12.3663,0,0,4.2,54.433167,24.523646,0,1.15257,-255,0,-255,0,0,0,0,0,0,0,0
14,79,111,0.0474287,12.458,0,0,4.1,54.4331515,24.523674,0,1.79769,-255,0,-255,0,0,0,0,0,0,0,0
15,79,111,0.0509148,12.5497,0,0,4,54.433136,24.523702,0,2.4428,-255,0,-255,0,0,0,0,0,0,0,0
16,79,111,0.054684,13.5691,0,0,3.4,54.433115,24.52373,0,-0.278157,-255,0,-255,0,0,0,0,0,0,0,0
17,79,115,0.0582173,13.1446,0,0,3.6,54.4330975,24.5237575,0,-0.841235,-255,0,-255,0,0,0,0,0,0,0,0
18,79,115,0.0617507,12.7201,0,0,3.8,54.43308,24.523785,0,0.176239,-255,0,-255,0,0,0,0,0,0,0,0
19,79,118,0.0656315,13.3456,0,0,3.7,54.4330595,24.5238145,0,-1.91753,-255,0,-255,0,0,0,0,0,0,0,0
20,79,118,0.0695124,13.971,0,0,3.6,54.433039,24.523844,0,-0.988692,-255,0,-255,0,0,0,0,0,0,0,0
21,79,122,0.0734142,14.0087,0,0,3.6,54.4330165,24.5238725,0,0.197823,-255,0,-255,0,0,0,0,0,0,0,0
