secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,105,0.0097674,35.1626,0,0,1.4,54.43858300,24.53156300,0,6.14288,-255,0,-255,0,0,0,0,0,0,0,0
2,83,115,0.0113987,29.3046,0,0,1.28,54.43859500,24.53157280,0,-7.35629,-255,0,-255,0,0,0,0,0,0,0,0
3,83,115,0.0130299,23.4466,0,0,1.16,54.43860700,24.53158260,0,-7.35629,-255,0,-255,0,0,0,0,0,0,0,0
4,83,115,0.0146612,17.5886,0,0,1.04,54.43861900,24.53159240,0,-7.35629,-255,0,-255,0,0,0,0,0,0,0,0
5,83,115,0.0162924,11.7305,0,0,0.92,54.43863100,24.53160220,0,-7.35629,-255,0,-255,0,0,0,0,0,0,0,0
6,83,115,0.0179237,5.87253,0,0,0.8,54.43864300,24.53161200,0,-7.35629,-255,0,-255,0,0,0,0,0,0,0,0
7,83,119,0.026005,29.0927,0,0,0.6,54.43870200,24.53166100,0,-2.47485,-255,0,-255,0,0,0,0,0,0,0,0
8,83,122,0.0312663,18.9408,0,0,0.8,54.43873700,24.53169600,0,3.80132,-255,0,-255,0,0,0,0,0,0,0,0
9,83,125,0.0363284,18.2235,0,0,2,54.43876900,24.53173100,0,23.7056,-255,0,-255,0,0,0,0,0,0,0,0
10,84,126,0.0414723,18.3708,0,0,1.2,54.43879800,24.53176900,0,-2.11588,-255,0,-255,0,0,0,0,0,0,0,0
11,84,126,0.0466162,18.5181,0,0,0.4,54.43882700,24.53180700,0,-4.2854,-255,0,-255,0,0,0,0,0,0,0,0
12,83,129,0.0517217,18.4489,0,0,0.8,54.43885450,24.53184550,0,-2.7663,-255,0,-255,0,0,0,0,0,0,0,0
13,83,129,0.0568271,18.3796,0,0,1.2,54.43888200,24.53188400,0,-1.24719,-255,0,-255,0,0,0,0,0,0,0,0
14,83,130,0.061665,18.1388,0,0,1.35,54.43890625,24.53192150,0,-0.201507,-255,0,-255,0,0,0,0,0,0,0,0
15,83,130,0.0665028,17.8979,0,0,1.5,54.43893050,24.53195900,0,0.844176,-255,0,-255,0,0,0,0,0,0,0,0
16,83,130,0.0713407,17.6571,0,0,1.65,54.43895475,24.53199650,0,1.88986,-255,0,-255,0,0,0,0,0,0,0,0
17,83,130,0.0761785,17.4163,0,0,1.8,54.43897900,24.53203400,0,2.4474,-255,0,-255,0,0,0,0,0,0,0,0
18,83,131,0.0810648,17.5907,0,0,0.4,54.43899900,24.53207400,0,-0.797881,-255,0,-255,0,0,0,0,0,0,0,0
19,83,134,0.0857446,17.2189,0,0,0.5,54.43902000,24.53211150,0,-2.95476,-255,0,-255,0,0,0,0,0,0,0,0
20,83,134,0.0904243,16.8471,0,0,0.6,54.43904100,24.53214900,0,-1.18584,-255,0,-255,0,0,0,0,0,0,0,0
21,83,135,0.0950895,16.8208,0,0,0.6,54.43905800,24.53218800,0,0.369399,-255,0,-255,0,0,0,0,0,0,0,0
22,83,135,0.0997546,16.7944,0,0,0.6,54.43907500,24.53222700,0,-0.414078,-255,0,-255,0,0,0,0,0,0,0,0
23,82,136,0.104225,16.6196,0,0,0.65,54.43908575,24.53226600,0,-1.08572,-255,0,-255,0,0,0,0,0,0,0,0
24,82,136,0.108696,16.4448,0,0,0.7,54.43909650,24.53230500,0,-1.28394,-255,0,-255,0,0,0,0,0,0,0,0
25,82,136,0.113167,16.2699,0,0,0.75,54.43910725,24.53234400,0,-1.48216,-255,0,-255,0,0,0,0,0,0,0,0
26,82,136,0.117638,16.0951,0,0,0.8,54.43911800,24.53238300,0,-1.68038,-255,0,-255,0,0,0,0,0,0,0,0
27,81,136,0.122148,16.1235,0,0,0.84,54.43912660,24.53242280,0,-1.90175,-255,0,-255,0,0,0,0,0,0,0,0
28,81,136,0.126659,16.1518,0,0,0.88,54.43913520,24.53246260,0,1.05209,-255,0,-255,0,0,0,0,0,0,0,0
29,81,136,0.131169,16.1802,0,0,0.92,54.43914380,24.53250240,0,0.927088,-255,0,-255,0,0,0,0,0,0,0,0
30,81,136,0.135679,16.2086,0,0,0.96,54.43915240,24.53254220,0,0.802088,-255,0,-255,0,0,0,0,0,0,0,0
31,81,136,0.140189,16.2369,0,0,1,54.43916100,24.53258200,0,0.890775,-255,0,-255,0,0,0,0,0,0,0,0
32,81,137,0.1445,15.8779,0,0,0.9,54.43916600,24.53262050,0,0.658798,-255,0,-255,0,0,0,0,0,0,0,0
33,81,137,0.148811,15.5188,0,0,0.8,54.43917100,24.53265900,0,0.314986,-255,0,-255,0,0,0,0,0,0,0,0
34,81,137,0.152974,15.4122,0,0,0.76,54.43916920,24.53269640,0,0.107059,-255,0,-255,0,0,0,0,0,0,0,0
35,81,137,0.157136,15.3055,0,0,0.72,54.43916740,24.53273380,0,-0.100868,-255,0,-255,0,0,0,0,0,0,0,0
36,81,137,0.161299,15.1989,0,0,0.68,54.43916560,24.53277120,0,-0.308795,-255,0,-255,0,0,0,0,0,0,0,0
37,81,137,0.165462,15.0923,0,0,0.64,54.43916380,24.53280860,0,-0.493574,-255,0,-255,0,0,0,0,0,0,0,0
38,81,137,0.169624,14.9856,0,0,0.6,54.43916200,24.53284600,0,-0.678353,-255,0,-255,0,0,0,0,0,0,0,0
39,81,139,0.173769,14.9541,0,0,0.5,54.43915700,24.53288300,0,-1.00828,-255,0,-255,0,0,0,0,0,0,0,0
40,81,139,0.177915,14.9227,0,0,0.4,54.43915200,24.53292000,0,-1.33821,-255,0,-255,0,0,0,0,0,0,0,0
41,81,140,0.182178,15.0076,0,0,0.4,54.43914180,24.53295720,0,-1.4269,-255,0,-255,0,0,0,0,0,0,0,0
42,81,140,0.186441,15.0926,0,0,0.4,54.43913160,24.53299440,0,-1.19492,-255,0,-255,0,0,0,0,0,0,0,0
43,81,140,0.190704,15.1776,0,0,0.4,54.43912140,24.53303160,0,-0.962948,-255,0,-255,0,0,0,0,0,0,0,0
44,81,140,0.194967,15.2625,0,0,0.4,54.43911120,24.53306880,0,-0.866856,-255,0,-255,0,0,0,0,0,0,0,0
45,81,140,0.199231,15.3475,0,0,0.4,54.43910100,24.53310600,0,-0.770764,-255,0,-255,0,0,0,0,0,0,0,0
46,81,139,0.20355,15.4484,0,0,0.2,54.43908800,24.53314300,0,-1.13771,-255,0,-255,0,0,0,0,0,0,0,0
47,81,139,0.207869,15.5494,0,0,0,54.43907500,24.53318000,0,-1.50466,-255,0,-255,0,0,0,0,0,0,0,0
48,81,138,0.212233,15.5817,0,0,0.04,54.43906000,24.53321680,0,-1.31692,-255,0,-255,0,0,0,0,0,0,0,0
49,81,138,0.216598,15.6141,0,0,0.08,54.43904500,24.53325360,0,-0.984019,-255,0,-255,0,0,0,0,0,0,0,0
50,81,138,0.220962,15.6465,0,0,0.12,54.43903000,24.53329040,0,-0.651121,-255,0,-255,0,0,0,0,0,0,0,0
51,81,138,0.225326,15.6789,0,0,0.16,54.43901500,24.53332720,0,-0.559467,-255,0,-255,0,0,0,0,0,0,0,0
52,81,138,0.22969,15.7113,0,0,0.2,54.43900000,24.53336400,0,-0.467813,-255,0,-255,0,0,0,0,0,0,0,0
53,81,141,0.234131,15.9858,0,0,0,54.43898100,24.53340000,0,-0.918212,-255,0,-255,0,0,0,0,0,0,0,0
54,81,143,0.238395,15.6686,0,0,0.1,54.43896150,24.53343400,0,-0.683706,-255,0,-255,0,0,0,0,0,0,0,0
55,81,143,0.242659,15.3514,0,0,0.2,54.43894200,24.53346800,0,-0.4492,-255,0,-255,0,0,0,0,0,0,0,0
56,81,144,0.246992,15.4003,0,0,0.16,54.43892460,24.53350360,0,-0.0784898,-255,0,-255,0,0,0,0,0,0,0,0
57,81,144,0.251324,15.4492,0,0,0.12,54.43890720,24.53353920,0,0.29222,-255,0,-255,0,0,0,0,0,0,0,0
58,81,144,0.255656,15.4981,0,0,0.08,54.43888980,24.53357480,0,0.108235,-255,0,-255,0,0,0,0,0,0,0,0
59,81,144,0.259988,15.547,0,0,0.04,54.43887240,24.53361040,0,-0.075751,-255,0,-255,0,0,0,0,0,0,0,0
60,81,144,0.26432,15.596,0,0,0,54.43885500,24.53364600,0,-0.259737,-255,0,-255,0,0,0,0,0,0,0,0
61,81,144,0.268668,15.6094,0,0,0,54.43883700,24.53368150,0,-0.351391,-255,0,-255,0,0,0,0,0,0,0,0
62,81,144,0.273015,15.6228,0,0,0,54.43881900,24.53371700,0,-0.443045,-255,0,-255,0,0,0,0,0,0,0,0
63,81,144,0.277362,15.6362,0,0,0,54.43880100,24.53375250,0,0,-255,0,-255,0,0,0,0,0,0,0,0
64,81,144,0.281709,15.6496,0,0,0,54.43878300,24.53378800,0,-0.227152,-255,0,-255,0,0,0,0,0,0,0,0
65,81,145,0.286127,15.7008,0,0,0,54.43876600,24.53382460,0,-0.461658,-255,0,-255,0,0,0,0,0,0,0,0
66,81,145,0.290545,15.7519,0,0,0,54.43874900,24.53386120,0,-0.369327,-255,0,-255,0,0,0,0,0,0,0,0
67,81,145,0.294963,15.803,0,0,0,54.43873200,24.53389780,0,-0.276995,-255,0,-255,0,0,0,0,0,0,0,0
68,81,145,0.299381,15.8542,0,0,0,54.43871500,24.53393440,0,-0.184663,-255,0,-255,0,0,0,0,0,0,0,0
69,81,145,0.3038,15.9053,0,0,0,54.43869800,24.53397100,0,-0.0923316,-255,0,-255,0,0,0,0,0,0,0,0
70,81,144,0.30824,15.9858,0,0,-0.2,54.43867900,24.53400700,0,-0.450399,-255,0,-255,0,0,0,0,0,0,0,0
71,81,144,0.312471,15.8349,0,0,-0.16,54.43866160,24.53404160,0,-0.355856,-255,0,-255,0,0,0,0,0,0,0,0
72,81,144,0.316702,15.6839,0,0,-0.12,54.43864420,24.53407620,0,-0.261312,-255,0,-255,0,0,0,0,0,0,0,0
73,81,144,0.320933,15.5329,0,0,-0.08,54.43862680,24.53411080,0,-0.166768,-255,0,-255,0,0,0,0,0,0,0,0
74,81,144,0.325163,15.382,0,0,-0.04,54.43860940,24.53414540,0,-0.0722242,-255,0,-255,0,0,0,0,0,0,0,0
75,81,144,0.329394,15.231,0,0,0,54.43859200,24.53418000,0,0.0223196,-255,0,-255,0,0,0,0,0,0,0,0
76,81,143,0.333598,15.1828,0,0,0,54.43857500,24.53421450,0,0.0223196,-255,0,-255,0,0,0,0,0,0,0,0
77,81,143,0.337802,15.1345,0,0,0,54.43855800,24.53424900,0,0.0223196,-255,0,-255,0,0,0,0,0,0,0,0
78,81,146,0.341933,15.0461,0,0,-0.0666667,54.43854333,24.53428367,0,-0.139085,-255,0,-255,0,0,0,0,0,0,0,0
79,81,146,0.346063,14.9578,0,0,-0.133333,54.43852867,24.53431833,0,-0.30049,-255,0,-255,0,0,0,0,0,0,0,0
80,81,146,0.350194,14.8695,0,0,-0.2,54.43851400,24.53435300,0,-0.0114948,-255,0,-255,0,0,0,0,0,0,0,0
81,81,148,0.354284,14.8333,0,0,-0.25,54.43849925,24.53438725,0,-0.22828,-255,0,-255,0,0,0,0,0,0,0,0
82,81,148,0.358374,14.7972,0,0,-0.3,54.43848450,24.53442150,0,-0.445065,-255,0,-255,0,0,0,0,0,0,0,0
83,81,148,0.362464,14.7611,0,0,-0.35,54.43846975,24.53445575,0,-0.66185,-255,0,-255,0,0,0,0,0,0,0,0
84,81,148,0.366555,14.725,0,0,-0.4,54.43845500,24.53449000,0,-0.878635,-255,0,-255,0,0,0,0,0,0,0,0
85,80,146,0.370579,14.6854,0,0,-0.4,54.43843867,24.53452300,0,-0.973179,-255,0,-255,0,0,0,0,0,0,0,0
86,80,146,0.374603,14.6457,0,0,-0.4,54.43842233,24.53455600,0,-0.973179,-255,0,-255,0,0,0,0,0,0,0,0
87,80,146,0.378627,14.6061,0,0,-0.4,54.43840600,24.53458900,0,-0.973179,-255,0,-255,0,0,0,0,0,0,0,0
88,80,146,0.382652,14.5665,0,0,-0.4,54.43838967,24.53462200,0,-0.811775,-255,0,-255,0,0,0,0,0,0,0,0
89,80,146,0.386676,14.5269,0,0,-0.4,54.43837333,24.53465500,0,-0.65037,-255,0,-255,0,0,0,0,0,0,0,0
90,80,146,0.3907,14.4873,0,0,-0.4,54.43835700,24.53468800,0,-0.488965,-255,0,-255,0,0,0,0,0,0,0,0
91,80,148,0.394877,14.6247,0,0,-0.4,54.43834350,24.53472350,0,-0.366724,-255,0,-255,0,0,0,0,0,0,0,0
