secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
48,82,156,0.219148,17.2567,0,0,11.4,54.43690900,24.52563900,0,-0.0866282,-255,0,-255,0,0,0,0,0,0,0,0
49,84,158,0.223519,16.952,0,0,11.44,54.43695220,24.52563920,0,0.0919001,-255,0,-255,0,0,0,0,0,0,0,0
50,84,158,0.227889,16.6472,0,0,11.48,54.43699540,24.52563940,0,0.321387,-255,0,-255,0,0,0,0,0,0,0,0
51,84,158,0.232259,16.3425,0,0,11.52,54.43703860,24.52563960,0,0.550873,-255,0,-255,0,0,0,0,0,0,0,0
52,84,158,0.236629,16.0377,0,0,11.56,54.43708180,24.52563980,0,0.78036,-255,0,-255,0,0,0,0,0,0,0,0
53,84,158,0.241,15.733,0,0,11.6,54.43712500,24.52564000,0,0.789037,-255,0,-255,0,0,0,0,0,0,0,0
54,83,159,0.245266,15.639,0,0,11.55,54.43715875,24.52566300,0,0.588978,-255,0,-255,0,0,0,0,0,0,0,0
55,83,159,0.249531,15.5451,0,0,11.5,54.43719250,24.52568600,0,0.388919,-255,0,-255,0,0,0,0,0,0,0,0
56,83,159,0.253797,15.4511,0,0,11.45,54.43722625,24.52570900,0,0.18886,-255,0,-255,0,0,0,0,0,0,0,0
57,83,159,0.258063,15.3572,0,0,11.4,54.43726000,24.52573200,0,-0.0111997,-255,0,-255,0,0,0,0,0,0,0,0
58,83,158,0.262511,15.488,0,0,11.48,54.43728280,24.52576620,0,0.16867,-255,0,-255,0,0,0,0,0,0,0,0
59,83,158,0.266959,15.6189,0,0,11.56,54.43730560,24.52580040,0,0.257012,-255,0,-255,0,0,0,0,0,0,0,0
60,83,158,0.271406,15.7498,0,0,11.64,54.43732840,24.52583460,0,0.345354,-255,0,-255,0,0,0,0,0,0,0,0
61,83,158,0.275854,15.8807,0,0,11.72,54.43735120,24.52586880,0,0.433696,-255,0,-255,0,0,0,0,0,0,0,0
62,83,158,0.280302,16.0116,0,0,11.8,54.43737400,24.52590300,0,0.522039,-255,0,-255,0,0,0,0,0,0,0,0
63,82,157,0.284698,15.8268,0,0,11.6,54.43738600,24.52594100,0,-0.0244137,-255,0,-255,0,0,0,0,0,0,0,0
64,82,156,0.289271,16.1443,0,0,11.7,54.43738950,24.52598200,0,0.311484,-255,0,-255,0,0,0,0,0,0,0,0
65,82,156,0.293843,16.4618,0,0,11.8,54.43739300,24.52602300,0,0.647381,-255,0,-255,0,0,0,0,0,0,0,0
66,82,157,0.298725,17.0175,0,0,11.7,54.43738650,24.52606650,0,0.559734,-255,0,-255,0,0,0,0,0,0,0,0
67,82,157,0.303606,17.5733,0,0,11.6,54.43738000,24.52611000,0,0.472087,-255,0,-255,0,0,0,0,0,0,0,0
68,82,155,0.308065,16.0531,0,0,11.8,54.43736300,24.52614700,0,0.74073,-255,0,-255,0,0,0,0,0,0,0,0
69,82,157,0.312652,16.2057,0,0,11.8667,54.43733733,24.52618100,0,0.706218,-255,0,-255,0,0,0,0,0,0,0,0
70,82,157,0.317238,16.3583,0,0,11.9333,54.43731167,24.52621500,0,0.671707,-255,0,-255,0,0,0,0,0,0,0,0
71,82,157,0.321825,16.511,0,0,12,54.43728600,24.52624900,0,0.637195,-255,0,-255,0,0,0,0,0,0,0,0
72,82,157,0.326368,16.4798,0,0,11.88,54.43725100,24.52627460,0,0.193186,-255,0,-255,0,0,0,0,0,0,0,0
73,82,157,0.330911,16.4486,0,0,11.76,54.43721600,24.52630020,0,0.383972,-255,0,-255,0,0,0,0,0,0,0,0
